"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"925",925,"41481A",41481,4101,1.5,0.5,"QURU",NA,"Snag","Snag",NA,2,3,NA,NA,NA,NA,60.5,60.6,60.4,NA,59.5,NA,NA,NA,NA,19.4,13.7,NA,"snag","snag",1,2
"926",926,"41481A",41481,4101,1.5,0.5,"QURU",NA,NA,"Log",NA,NA,2,NA,NA,42.3,NA,NA,NA,60.4,NA,39.9,NA,NA,4.1,NA,NA,NA,NA,NA,"log",NA,1
"927",927,"41481A",41481,4101,1.5,0.5,"QURU",NA,NA,"Log",NA,NA,2,NA,NA,29.6,NA,NA,NA,60.4,NA,37.7,NA,NA,7.7,NA,NA,NA,NA,NA,"log",NA,1
"928",928,"41629A",41629,482,1,3.7,"CAGL8",NA,"Snag","Log",NA,2,2,NA,15.5,NA,NA,21.6,21.5,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","log",1,1
"929",929,"41732A",41732,4105,1.1,1.6,"QUAL",NA,"Snag","Log",NA,2,3,NA,NA,NA,NA,21.7,21.5,21.4,NA,NA,NA,NA,NA,NA,15,NA,NA,"snag","log",1,2
"930",930,"41756A",41756,4106,1.8,3.2,"QUAL",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,24.2,24.2,24.2,NA,24,NA,NA,NA,NA,NA,11.8,NA,"snag","snag",1,1
"931",931,"41901B",41901,469,2.2,2,"QUAL",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"932",932,"41901A",41901,488,2.2,2,"QUAL",NA,"Log","Log",NA,2,4,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,2
"933",933,"41906A",41906,488,7.4,1.1,"CAGL8",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,"log","log",1,2
"934",934,"41922C",41922,488,5.6,2.4,"LIST2",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"935",935,"41922B",41922,489,5.6,2.4,"LIST2",NA,"Log","Log",NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,3
"936",936,"41922A",41922,489,5.6,2.4,"LIST2",NA,"Snag","Log",NA,2,3,NA,17.6,NA,NA,15.1,14.7,14.3,NA,NA,NA,NA,NA,NA,2.3,NA,NA,"snag","log",1,2
"937",937,"41952B",41952,4810,1.8,10,"ACRU",NA,"Log","Log",NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,2
"938",938,"41952A",41952,4810,1.8,10,"ACRU",NA,"Snag","Log",NA,2,4,NA,11.2,NA,NA,12.1,12.1,12,NA,NA,NA,NA,NA,NA,4,NA,NA,"snag","log",1,2
"939",939,"42658A",42658,1254,4.1,6.2,"CACA18",NA,"Snag",NA,NA,1,3,NA,NA,NA,NA,10.8,10.8,11,NA,NA,NA,NA,NA,NA,6,NA,NA,"snag",NA,1,2
"940",940,"42659A",42659,1254,4.1,6.2,"CACA18",NA,"Snag","Snag",NA,1,3,NA,NA,NA,NA,15,15,NA,NA,15,NA,NA,NA,NA,5,1.2,NA,"snag","snag",1,2
"941",941,"42659A",42659,1254,4.1,6.2,"CACA18",NA,NA,"Log",NA,NA,4,NA,NA,12.5,NA,NA,NA,NA,NA,15.5,NA,NA,3.5,NA,NA,NA,NA,NA,"log",NA,2
"942",942,"42673A",42673,1255,1.1,2.9,"CACA18",NA,"NF",NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF",NA,NA,NA
"943",943,"42841A",42841,1258,10,10,"UNKN",NA,"Log","Log",NA,4,4,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,"log","log",2,2
"944",944,"50089A",50089,536,1.3,2.3,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,24.7,25.4,25.5,NA,NA,NA,NA,NA,NA,13,NA,NA,"snag","snag",1,1
"945",945,"50094A",50094,536,9.5,4.9,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,25.4,27.5,28,NA,NA,NA,NA,NA,NA,12.8,NA,NA,"snag","snag",1,1
"946",946,"50099A",50099,536,7,9,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,55.9,56.7,55.9,NA,48.6,NA,NA,NA,NA,20.6,25,NA,"snag","snag",1,1
"947",947,"50149A",50149,524,5.7,9.9,"FRPE",NA,"Snag",NA,NA,1,NA,NA,NA,NA,NA,11.3,12.3,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,"snag",NA,1,NA
"948",948,"50182A",50182,515,1.2,3.4,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,40.6,40.9,40.7,NA,NA,NA,NA,NA,NA,21.8,NA,NA,"snag","snag",1,1
"949",949,"50197A",50197,515,1,8.5,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,26,26.3,26,NA,NA,NA,NA,NA,NA,16.6,NA,NA,"snag","snag",1,1
"950",950,"50198A",50198,515,0.3,7.5,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,55,55.7,55.3,NA,NA,NA,NA,NA,NA,16.8,NA,NA,"snag","snag",1,1
"951",951,"50199A",50199,515,5.6,9.8,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,15.4,16.3,16.2,NA,NA,NA,NA,NA,NA,10.8,NA,NA,"snag","snag",1,1
"952",952,"50200A",50200,516,8,0.6,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,35.5,35.9,35.9,NA,NA,NA,NA,NA,NA,18.2,NA,NA,"snag","snag",1,1
"953",953,"50200A",50200,516,8,0.6,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,24,NA,NA,NA,35.9,NA,32.2,NA,NA,15,NA,NA,NA,NA,NA,"log",NA,1
"954",954,"50209A",50209,531,9.4,8.6,"FAGR",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,60.3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,"log","log",1,2
"955",955,"50354A",50354,525,4.2,3.7,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,34.6,34.8,34,NA,NA,NA,NA,NA,NA,19,NA,NA,"snag","snag",1,1
"956",956,"50356A",50356,525,0.5,1.4,"FRPE",NA,"Snag","Snag",NA,2,1,NA,NA,NA,NA,21.8,21.8,22,NA,NA,NA,NA,NA,NA,10.2,NA,NA,"snag","snag",1,1
"957",957,"50360A",50360,525,0.8,1.8,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,36.7,37.9,37.8,NA,37,NA,NA,NA,NA,19.4,4.5,NA,"snag","snag",1,1
"958",958,"50376A",50376,525,5,9.7,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,49.2,49.6,50.8,NA,NA,NA,NA,NA,NA,13,NA,NA,"snag","snag",1,1
"959",959,"50377A",50377,525,4.6,8.7,"LITU",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,37.4,37.5,37.2,NA,NA,NA,NA,NA,NA,20,NA,NA,"snag","snag",1,1
"960",960,"50393A",50393,526,2.4,3.5,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,39,38.6,38.8,NA,NA,NA,NA,NA,NA,16.5,NA,NA,"snag","snag",1,1
"961",961,"50397A",50397,526,8.1,9.3,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,38.3,38.3,39.2,NA,NA,NA,NA,NA,NA,15.4,NA,NA,"snag","snag",1,1
"962",962,"50400A",50400,527,5.5,1,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,20.5,19.4,20.9,NA,NA,NA,NA,NA,NA,11,NA,NA,"snag","snag",1,1
"963",963,"50402B",50402,551,5.7,2.8,"FAGR",NA,"Log","Log",NA,4,5,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log","log",2,3
"964",964,"50501A",50501,516,7.9,1,"FRPE",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,25.9,25.5,25.3,NA,NA,NA,NA,NA,NA,13,NA,NA,"snag","snag",1,1
"965",965,"50502A",50502,516,3.7,2.4,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,50.1,49.5,50,NA,NA,NA,NA,NA,NA,21.4,NA,NA,"snag","snag",1,1
"966",966,"50506A",50506,517,5.1,0.6,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,30.8,30.8,30.9,NA,NA,NA,NA,NA,NA,16.5,NA,NA,"snag","snag",1,1
"967",967,"50507A",50507,517,1.9,1.9,"FRPE",NA,"Snag","Log",NA,1,2,NA,NA,20.6,NA,41.3,39.8,40.7,NA,39.2,NA,NA,30,NA,21.2,NA,NA,"snag","log",1,1
"968",968,"50509A",50509,517,4.8,3.1,"ULAM",NA,"Snag","Log",NA,3,3,NA,NA,20.3,NA,34.7,34.6,NA,NA,34.4,NA,NA,10,NA,7,NA,NA,"snag","log",2,2
"969",969,"50510A",50510,517,7.8,3.2,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,37.8,39,37.8,NA,NA,NA,NA,NA,NA,18,NA,NA,"snag","snag",1,1
"970",970,"50511A",50511,517,3.1,8.3,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,32.4,31.2,32.6,NA,NA,NA,NA,NA,NA,20,NA,NA,"snag","snag",1,1
"971",971,"50522A",50522,518,9.4,6.1,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,29.9,29.8,29.7,NA,NA,NA,NA,NA,NA,14,NA,NA,"snag","snag",1,1
"972",972,"50603A",50603,527,9.5,0.2,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,16.5,17,16.9,NA,16.3,NA,NA,NA,NA,11,8,NA,"snag","snag",1,1
"973",973,"50604A",50604,527,3.1,7.8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,51.6,50.6,52.5,NA,NA,NA,NA,NA,NA,16,NA,NA,"snag","snag",1,1
"974",974,"50750A",50750,5910,5.5,4,"LIST2",NA,"Snag","Snag",NA,3,3,NA,NA,NA,NA,21.2,20.1,19.8,NA,NA,NA,NA,NA,NA,12.4,NA,NA,"snag","snag",2,2
"975",975,"50757A",50757,5910,8.6,1.6,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,28.1,28.6,28,NA,NA,NA,NA,NA,NA,9,NA,NA,"snag","snag",1,1
"976",976,"50759A",50759,5910,8.9,7,"FAGR",NA,"Snag","Log",NA,3,4,NA,NA,7.3,NA,13.1,13.4,12.9,NA,16.4,NA,NA,5,NA,4.3,NA,NA,"snag","log",2,2
"977",977,"50774A",50774,577,4.9,3.8,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,40.8,41.4,40.7,NA,NA,NA,NA,NA,NA,20,NA,NA,"snag","snag",1,1
"978",978,"50842A",50842,574,NA,NA,"LIST2",NA,NA,"Log",NA,NA,2,NA,NA,17.7,NA,NA,NA,NA,NA,56,NA,NA,20.8,NA,NA,NA,NA,NA,"log",NA,1
"979",979,"50774A",50774,577,4.9,3.8,"FRPE",NA,NA,"Log",NA,NA,2,NA,NA,25.5,NA,NA,NA,40.7,NA,36.1,NA,NA,7.3,NA,NA,NA,NA,NA,"log",NA,1
"980",980,"50775A",50775,576,9.7,4.7,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,44.9,46.1,45.9,NA,NA,NA,NA,NA,NA,11,NA,NA,"snag","snag",1,1
"981",981,"50884A",50884,575,0.7,4.7,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,35.1,36.2,35.7,NA,NA,NA,NA,NA,NA,17.6,NA,NA,"snag","snag",1,1
"982",982,"51003A",51003,599,0.5,4,"FRPE",NA,"Snag","Snag",NA,1,3,NA,NA,NA,NA,29.6,NA,30.8,NA,28,NA,NA,NA,NA,17,1.5,NA,"snag","snag",1,2
"983",983,"51003A",51003,599,0.5,4,"FRPE",NA,NA,"Log",NA,NA,3,NA,NA,14.7,NA,NA,NA,30.8,NA,23.9,NA,NA,14.3,NA,NA,NA,NA,NA,"log",NA,2
"984",984,"51065A",51065,585,6.4,7.1,"FRPE",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,41.5,NA,42,NA,NA,NA,NA,NA,NA,13.6,NA,NA,"snag","snag",1,1
"985",985,"51094A",51094,596,9.7,8.9,"FRPE",NA,"Snag","Snag",NA,1,3,NA,NA,NA,NA,42.5,43.9,43.2,NA,NA,NA,NA,NA,NA,12.5,NA,NA,"snag","snag",1,2
"986",986,"51330A",51330,576,0.2,0.4,"ACRU",NA,"Log","Log",NA,4,4,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log","log",2,2
"987",987,"51467A",51467,5103,8.2,9.1,"ULAM",NA,"Snag","Log",NA,2,3,NA,NA,6.9,NA,14,13.7,NA,NA,13.1,NA,NA,10.5,NA,6,NA,NA,"snag","log",1,2
"988",988,"53505A",53505,558,2.1,5.2,"LIST2",NA,"Snag","Snag",NA,4,4,NA,NA,NA,NA,19.2,17.8,17.6,NA,NA,NA,NA,NA,NA,4,NA,NA,"snag","snag",2,2
"989",989,"53511A",53511,558,5.4,4.5,"NYSY",NA,"Snag","Snag",NA,2,3,NA,NA,NA,NA,10.2,10.1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,"snag","snag",1,2
"990",990,"53520A",53520,5106,8.3,1.5,"CACA18",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,"log",NA,2,NA
"991",991,"53711C",53711,915,2.8,9.6,"FRPE",NA,"Log","Log",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"log","log",1,1
"992",992,"53711B",53711,5105,2.8,9.6,"FRPE",NA,"Log","Log",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log","log",1,1
"993",993,"53711A",53711,5105,2.8,9.6,"FRPE",NA,"Snag","Snag",NA,2,2,NA,36,NA,NA,44.1,43.4,43.1,NA,NA,NA,NA,NA,NA,8,NA,NA,"snag","snag",1,1
"994",994,"53712A",53712,5105,3.8,8.8,"FRPE",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,30.7,31.4,31.2,NA,NA,NA,NA,NA,NA,9.2,NA,NA,"snag","snag",1,1
"995",995,"53808A",53808,597,8,1.4,"FRAM2",NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,18,17.5,17.6,NA,NA,NA,NA,NA,NA,6,NA,NA,"snag",NA,1,NA
"996",996,"53830A",53830,597,9.6,8.5,"LIST2",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"log",NA,2,NA
"997",997,"53831A",53831,597,9.6,8.7,"LIST2",NA,"Log","Log",NA,4,4,NA,24.9,NA,NA,23.9,25.1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,2
"998",998,"60111A",60111,622,5.4,4.6,"FAGR",NA,"Snag","Log",NA,3,4,NA,NA,NA,NA,10.4,10.1,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,"snag","log",2,2
"999",999,"60114A",60114,622,6.3,8.7,"LIST2",NA,"Snag",NA,NA,4,NA,NA,NA,NA,NA,28.5,27.7,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"snag",NA,2,NA
"1000",1000,"60116A",60116,623,2.1,1.5,"LIST2",NA,"Snag","Snag",NA,1,1,NA,NA,NA,NA,24.6,24.4,24.5,NA,NA,NA,NA,NA,NA,10,NA,NA,"snag","snag",1,1
"1001",1001,"60199A",60199,628,3.5,3.5,"LITU",NA,"Snag","Snag",NA,3,3,NA,NA,NA,NA,26.1,25.8,24.3,NA,NA,NA,NA,NA,NA,8,NA,NA,"snag","snag",2,2
"1002",1002,"60223A",60223,617,2.9,6.2,"LIST2",NA,"Snag","Log",NA,1,2,NA,NA,NA,NA,13.2,13,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,"snag","log",1,1
"1003",1003,"60427A",60427,633,1,1.8,"QUFA",NA,"Snag","Snag",NA,1,2,NA,NA,NA,NA,104.8,103.4,104.7,NA,NA,NA,NA,NA,NA,23,NA,NA,"snag","snag",1,1
"1004",1004,"60470A",60470,636,0.1,7.1,"LITU",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,17.3,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,"log","log",1,2
"1005",1005,"60527B",60527,639,6.6,2.1,"CACA18",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"log",NA,2,NA
"1006",1006,"60527A",60527,639,6.6,2.1,"CACA18",NA,"Snag","Log",NA,3,5,NA,10,NA,NA,11.5,11.5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"snag","log",2,3
"1007",1007,"60608B",60608,646,1.4,9.5,"FRAM2",NA,"Log","Log",NA,2,2,NA,NA,NA,NA,22.8,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log","log",1,1
"1008",1008,"60608A",60608,646,1.4,9.5,"FRAM2",NA,"Snag","Snag",NA,2,2,NA,17.8,NA,NA,22.8,22.7,22.7,NA,NA,NA,NA,NA,NA,8,NA,NA,"snag","snag",1,1
"1009",1009,"60622A",60622,648,0.8,3.1,"COFL2",NA,"Snag","Log",NA,3,2,NA,NA,NA,NA,11.8,11.6,11.5,NA,NA,NA,NA,NA,NA,2,NA,NA,"snag","log",2,1
"1010",1010,"60636A",60636,649,1.2,6,"COFL2",NA,"Log","Log",NA,3,2,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,"log","log",2,1
"1011",1011,"60683A",60683,661,1.9,2.8,"QUAL",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,17.4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,"log",NA,2,NA
"1012",1012,"60747A",60747,655,5.4,4.9,"QUFA",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,36.3,36,36,NA,NA,NA,NA,NA,NA,19,NA,NA,"snag","snag",1,1
"1013",1013,"60750A",60750,655,6.5,8.5,"QUFA",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,50.5,50.1,50.4,NA,NA,NA,NA,NA,NA,16.8,NA,NA,"snag","snag",1,1
"1014",1014,"60813A",60813,665,5.1,2.1,"COFL2",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log","log",2,2
"1015",1015,"60856A",60856,668,9.1,3.4,"COFL2",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log","log",2,2
"1016",1016,"61139A",61139,6710,9.4,5,"QUFA",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,"log","log",2,2
"1017",1017,"61427A",61427,6105,4.8,3.9,"QUAL",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,49.7,50,50.2,NA,NA,NA,NA,NA,NA,17.8,NA,NA,"snag","snag",1,1
"1018",1018,"61442B",61442,1014,9.1,5.2,"QURU",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"log",NA,2,NA
"1019",1019,"70002B",70002,711,8.4,0.5,"CATO6",NA,"Log","Log",NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"log","log",2,3
"1020",1020,"70413B",70413,716,7.1,7.4,"LIST2",NA,"Log","Log",NA,3,4,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"log","log",2,2
"1021",1021,"70413A",70413,716,7.1,7.4,"LIST2",NA,"Snag","Snag",NA,3,4,NA,18.5,NA,NA,28.8,28.3,25.8,NA,25.5,NA,NA,NA,NA,8,2,NA,"snag","snag",2,2
"1022",1022,"70561A",70561,739,3.5,6,"COFL2",NA,"Snag","Log",NA,2,2,NA,NA,NA,NA,10.8,10.5,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,"snag","log",1,1
"1023",1023,"70676A",70676,746,8.4,1.9,"CATO6",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,1,NA
"1024",1024,"70730A",70730,753,5.5,5.4,"NYSY",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"log",NA,2,NA
"1025",1025,"71053A",71053,774,1.2,3.6,"CACA18",NA,"Snag","Log",NA,3,5,NA,10,NA,NA,12.5,12.3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"snag","log",2,3
"1026",1026,"71066A",71066,775,3.8,2,"CACA18",NA,"Log","Log",NA,4,5,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"log","log",2,3
"1027",1027,"71345A",71345,7109,6.6,0.9,"CATO6",NA,"Log","Log",NA,3,3,NA,NA,NA,NA,33.6,NA,NA,NA,26,NA,9,NA,NA,NA,NA,NA,"log","log",2,2
"1028",1028,"71652A",71652,7104,5.4,5.4,"COFL2",NA,"Snag","Log",NA,1,4,NA,NA,8.4,NA,12.2,12.1,11.8,NA,11.8,NA,NA,1.6,NA,NA,NA,NA,"snag","log",1,2
"1029",1029,"71652A",71652,7104,5.4,5.4,"COFL2",NA,NA,"Log",NA,NA,2,NA,NA,4.5,NA,NA,NA,11.8,NA,10.2,NA,NA,7.6,NA,NA,NA,NA,NA,"log",NA,1
"1030",1030,"71655B",71655,7104,3,8.1,"CACA18",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log",NA,2,NA
"1031",1031,"71655A",71655,7104,3,8.1,"CACA18",NA,"Snag","Log",NA,3,5,NA,14.8,NA,NA,13.7,14.8,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,"snag","log",2,3
"1032",1032,"80110A",80110,821,7,8.4,"CACA18",NA,"Snag","Log",NA,1,5,NA,NA,NA,NA,10.2,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","log",1,3
"1033",1033,"80339B",80339,819,0.9,9,"LIST2",NA,"Log","Log",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,2
"1034",1034,"80339C",80339,819,0.9,9,"LIST2",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"1035",1035,"80350A",80350,8110,2.1,5.6,"CACA18",NA,"Snag","Snag",NA,2,5,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,"snag","snag",1,3
"1036",1036,"80360A",80360,841,7.8,2.5,"CATO6",NA,"Snag","Log",NA,1,2,NA,NA,NA,NA,15.8,15.8,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","log",1,1
"1037",1037,"80378A",80378,842,1.6,4.8,"COFL2",NA,"Snag","Log",NA,2,2,NA,NA,NA,NA,14.6,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","log",1,1
"1038",1038,"80378B",80378,843,1.6,4.8,"COFL2",NA,"Log",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"1039",1039,"80394A",80394,843,0.4,2.2,"QURU",NA,"Snag","Snag ",NA,2,3,NA,NA,NA,NA,89.6,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","snag",1,2
"1040",1040,"80711A",80711,862,7.7,5.5,"CACA18",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"1041",1041,"80891B",80891,848,1.6,5.8,"QUVE",NA,"Log","Log",NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",2,3
"1042",1042,"80891C",80891,848,1.6,5.8,"QUVE",NA,"Log",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,2,NA
"1043",1043,"80891A",80891,848,1.6,5.8,"QUVE",NA,"Snag","Log",NA,4,4,NA,72.2,NA,NA,109.3,110.5,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,"snag","log",2,2
"1044",1044,"81053A",81053,884,6.9,9.7,"LITU",NA,"Snag","Snag",NA,3,3,NA,NA,NA,NA,23.5,20.4,20,NA,NA,NA,NA,NA,NA,30,NA,NA,"snag","snag",2,2
"1045",1045,"81292A",81292,896,5,1.8,"LIST2",NA,"Snag","Snag",NA,2,2,NA,NA,NA,NA,32.2,32.3,32.1,NA,NA,NA,NA,NA,NA,25,NA,NA,"snag","snag",1,1
"1046",1046,"81312A",81312,898,1.2,2.1,"QUVE",NA,"Log","Log",NA,2,3,NA,NA,NA,NA,52.4,NA,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log","log",1,2
"1047",1047,"90001B",90001,9101,6.8,0.5,"LIST2",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"log",NA,1,NA
"1048",1048,"90001A",90001,9101,6.8,0.5,"LIST2",NA,"Snag","Snag",NA,2,3,NA,14.4,NA,NA,15.5,14.6,14.2,NA,14.3,NA,NA,NA,NA,4.5,4,NA,"snag","snag",1,2
"1049",1049,"90003A",90003,9101,0,2.2,"LIST2",NA,"Snag",NA,NA,2,NA,NA,NA,NA,NA,19.2,18.1,NA,NA,NA,NA,NA,NA,NA,17.8,NA,NA,"snag",NA,1,NA
"1050",1050,"90019B",90019,9102,4.1,0,"LIST2",NA,"Log",NA,NA,2,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,"log",NA,1,NA
"1051",1051,"90019A",90019,9102,4.1,0,"LIST2",NA,"Snag",NA,NA,3,NA,NA,11.4,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,"snag",NA,2,NA
